Year,Category,Education,Salary
2007,MED,Master's/Professional,58859.086956521736
2007,MGR,Bachelor's,72979.86956521739
2007,MGR,Doctorate,105699.47826086957
2007,MGR,Master's/Professional,89295.69565217392
2007,MIL,Bachelor's,51105.0
2007,MIL,Doctorate,63110.0
2007,MIL,Master's/Professional,81180.0
2007,OFF,Bachelor's,34753.93548387097
2007,OFF,Doctorate,38188.6129032258
2007,OFF,Master's/Professional,37256.1935483871
2007,PRD,Bachelor's,36012.84
2007,PRD,Doctorate,46631.76
2007,PRD,Master's/Professional,39704.32
2007,PRS,Bachelor's,25815.69230769231
2007,PRS,Doctorate,46283.61538461538
2007,PRS,Master's/Professional,27949.384615384617
2007,PRT,Bachelor's,55612.90909090909
2007,PRT,Doctorate,55791.0
2007,PRT,Master's/Professional,64030.09090909091
2007,RPR,Bachelor's,46865.09090909091
2007,RPR,Doctorate,50987.63636363636
2007,RPR,Master's/Professional,48081.09090909091
2007,SAL,Bachelor's,61564.470588235294
2007,SAL,Doctorate,70399.70588235294
2007,SAL,Master's/Professional,70311.23529411765
2007,SCI,Bachelor's,54449.5
2007,SCI,Doctorate,106888.42857142857
2007,SCI,Master's/Professional,64952.857142857145
2007,TRN,Bachelor's,42835.07142857143
2007,TRN,Doctorate,42464.42857142857
2007,TRN,Master's/Professional,43421.71428571428
2008,BUS,Bachelor's,22579.14285714286
2008,BUS,Doctorate,34020.0
2008,BUS,Master's/Professional,23420.428571428572
2008,CLN,Bachelor's,17374.0
2008,CLN,Doctorate,19903.0
2008,CLN,Master's/Professional,16291.333333333334
2008,CMM,Bachelor's,42025.0
2008,CMM,Doctorate,47552.5
2008,CMM,Master's/Professional,26566.0
2008,CMS,Bachelor's,12892.8
2008,CMS,Doctorate,23654.2
2008,CMS,Master's/Professional,17546.8
2008,CON,Bachelor's,22325.185185185186
2008,CON,Doctorate,29456.814814814814
2008,CON,Master's/Professional,22929.11111111111
2008,EAT,Bachelor's,7651.363636363636
2008,EAT,Doctorate,13003.181818181818
2008,EAT,Master's/Professional,8703.0
2008,EDU,Bachelor's,13750.714285714286
2008,EDU,Doctorate,19915.0
2008,EDU,Master's/Professional,15805.57142857143
2008,ENG,Bachelor's,47471.75
2008,ENG,Doctorate,42741.5
2008,ENG,Master's/Professional,37750.5
2008,ENT,Bachelor's,11691.8
2008,ENT,Doctorate,20291.8
2008,ENT,Master's/Professional,12224.2
2008,EXT,Bachelor's,38408.5
2008,EXT,Doctorate,42613.0
2008,EXT,Master's/Professional,33906.75
2008,FFF,Bachelor's,11714.833333333334
2008,FFF,Doctorate,19753.5
2008,FFF,Master's/Professional,14416.833333333334
2008,FIN,Bachelor's,24012.75
2008,FIN,Doctorate,32110.5
2008,FIN,Master's/Professional,23784.25
2008,HLS,Bachelor's,13114.5
2008,HLS,Doctorate,17584.5
2008,HLS,Master's/Professional,12455.75
2008,MED,Bachelor's,45158.88888888889
2008,MED,Doctorate,40142.77777777778
2008,MED,Master's/Professional,35043.11111111111
2008,MGR,Bachelor's,31617.8
2008,MGR,Doctorate,42146.933333333334
2008,MGR,Master's/Professional,34831.6
2008,MIL,Bachelor's,22804.0
2008,MIL,Doctorate,27488.0
2008,MIL,Master's/Professional,18226.0
2008,OFF,Bachelor's,13289.6875
2008,OFF,Doctorate,22974.625
2008,OFF,Master's/Professional,15721.90625
2008,PRD,Bachelor's,18020.51785714286
2008,PRD,Doctorate,26624.10714285714
2008,PRD,Master's/Professional,20396.285714285714
2008,PRS,Bachelor's,7910.533333333334
2008,PRS,Doctorate,14842.6
2008,PRS,Master's/Professional,11472.066666666668
2008,PRT,Bachelor's,26024.666666666668
2008,PRT,Doctorate,31936.833333333332
2008,PRT,Master's/Professional,25757.0
2008,RPR,Bachelor's,23211.137931034482
2008,RPR,Doctorate,32831.68965517241
2008,RPR,Master's/Professional,24731.379310344826
2008,SAL,Bachelor's,19937.375
2008,SAL,Doctorate,25832.625
2008,SAL,Master's/Professional,18211.4375
2008,SCI,Bachelor's,14787.25
2008,SCI,Doctorate,28419.25
2008,SCI,Master's/Professional,15669.0
2008,TRN,Bachelor's,22376.526315789473
2008,TRN,Doctorate,29361.105263157893
2008,TRN,Master's/Professional,22234.63157894737
2009,BUS,Bachelor's,22276.5
2009,BUS,Doctorate,34715.75
2009,BUS,Master's/Professional,29006.0
2009,CLN,Bachelor's,15079.0
2009,CLN,Doctorate,19532.166666666668
2009,CLN,Master's/Professional,15438.333333333334
2009,CMM,Bachelor's,26525.5
2009,CMM,Doctorate,45116.5
2009,CMM,Master's/Professional,28033.5
2009,CMS,Bachelor's,13153.2
2009,CMS,Doctorate,21909.0
2009,CMS,Master's/Professional,13661.4
2009,CON,Bachelor's,19540.08
2009,CON,Doctorate,27341.88
2009,CON,Master's/Professional,20750.12
2009,EAT,Bachelor's,7819.0
2009,EAT,Doctorate,12587.636363636364
2009,EAT,Master's/Professional,8414.545454545454
2009,EDU,Bachelor's,23843.166666666668
2009,EDU,Doctorate,27328.0
2009,EDU,Master's/Professional,25334.166666666668
2009,ENG,Bachelor's,29056.666666666668
2009,ENG,Doctorate,35379.333333333336
2009,ENG,Master's/Professional,19382.666666666668
2009,ENT,Bachelor's,8416.0
2009,ENT,Doctorate,15917.142857142857
2009,ENT,Master's/Professional,9552.714285714286
2009,EXT,Bachelor's,32585.75
2009,EXT,Doctorate,45571.5
2009,EXT,Master's/Professional,33682.5
2009,FFF,Bachelor's,13274.57142857143
2009,FFF,Doctorate,18278.714285714286
2009,FFF,Master's/Professional,10024.714285714286
2009,FIN,Bachelor's,23651.0
2009,FIN,Doctorate,26579.666666666668
2009,FIN,Master's/Professional,41528.333333333336
2009,HLS,Bachelor's,15333.2
2009,HLS,Doctorate,18668.0
2009,HLS,Master's/Professional,16576.4
2009,LGL,Bachelor's,20773.0
2009,LGL,Doctorate,29825.0
2009,LGL,Master's/Professional,30959.0
2009,MED,Bachelor's,20570.5
2009,MED,Doctorate,26828.833333333332
2009,MED,Master's/Professional,25928.666666666668
2009,MGR,Bachelor's,27106.3125
2009,MGR,Doctorate,38042.125
2009,MGR,Master's/Professional,32048.5
2009,MIL,Bachelor's,11325.0
2009,MIL,Doctorate,28300.0
2009,MIL,Master's/Professional,8051.0
2009,OFF,Bachelor's,16572.344827586207
2009,OFF,Doctorate,23820.310344827587
2009,OFF,Master's/Professional,17136.137931034482
2009,PRD,Bachelor's,17250.491228070176
2009,PRD,Doctorate,25665.56140350877
2009,PRD,Master's/Professional,19328.22807017544
2009,PRS,Bachelor's,10608.692307692309
2009,PRS,Doctorate,15184.461538461539
2009,PRS,Master's/Professional,11110.846153846154
2009,PRT,Bachelor's,12216.4
2009,PRT,Doctorate,30586.4
2009,PRT,Master's/Professional,18840.6
2009,RPR,Bachelor's,23593.137931034482
2009,RPR,Doctorate,32081.379310344826
2009,RPR,Master's/Professional,22607.275862068964
2009,SAL,Bachelor's,14221.266666666666
2009,SAL,Doctorate,23074.933333333334
2009,SAL,Master's/Professional,15509.533333333333
