date,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20210122011510,01031,Alabama,Coffee County,11.01,6.0,7.25,2021
20210413022428,01031,Alabama,Coffee County,13.1,6.13,7.25,2021
20210801183431,01031,Alabama,Coffee County,13.1,6.13,7.25,2021
20211017230301,01031,Alabama,Coffee County,13.1,6.13,7.25,2021
20220122215757,01031,Alabama,Coffee County,13.1,6.13,7.25,2022
20150826225536,01033,Alabama,Colbert County,10.17,5.0,7.25,2015
20150910083344,01033,Alabama,Colbert County,10.17,5.0,7.25,2015
20160423053801,01033,Alabama,Colbert County,10.17,5.0,7.25,2016
20160524171936,01033,Alabama,Colbert County,10.17,5.0,7.25,2016
20160831145849,01033,Alabama,Colbert County,9.87,5.0,7.25,2016
20161203143514,01033,Alabama,Colbert County,9.87,5.0,7.25,2016
20170608152516,01033,Alabama,Colbert County,10.09,5.0,7.25,2017
20190317102933,01033,Alabama,Colbert County,11.0,5.84,7.25,2019
20190514121000,01033,Alabama,Colbert County,11.0,5.84,7.25,2019
20190623152030,01033,Alabama,Colbert County,11.0,5.84,7.25,2019
20190825015107,01033,Alabama,Colbert County,11.0,5.84,7.25,2019
20200921021128,01033,Alabama,Colbert County,10.85,6.0,7.25,2020
20201204042710,01033,Alabama,Colbert County,10.85,6.0,7.25,2020
20210225184038,01033,Alabama,Colbert County,13.62,6.13,7.25,2021
20210511030624,01033,Alabama,Colbert County,12.98,6.13,7.25,2021
20210729203706,01033,Alabama,Colbert County,12.98,6.13,7.25,2021
20211015223810,01033,Alabama,Colbert County,12.98,6.13,7.25,2021
20220127043931,01033,Alabama,Colbert County,12.98,6.13,7.25,2022
20130530010656,01035,Alabama,Conecuh County,8.1,5.21,7.25,2013
20140203204559,01035,Alabama,Conecuh County,8.1,5.21,7.25,2014
20150910090609,01035,Alabama,Conecuh County,9.75,5.0,7.25,2015
20160107122603,01035,Alabama,Conecuh County,9.75,5.0,7.25,2016
20160831202347,01035,Alabama,Conecuh County,9.77,5.0,7.25,2016
20161203173135,01035,Alabama,Conecuh County,9.77,5.0,7.25,2016
20170608163825,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20170705103737,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20170805083329,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20170905025253,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20171009134921,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
20171110152240,01035,Alabama,Conecuh County,9.73,5.0,7.25,2017
