datetime,fips_code,state,county,living_wage,poverty_wage,minimum_wage,year
20190807034451,01083,Alabama,Limestone County,10.97,5.84,7.25,2019
20200921042752,01083,Alabama,Limestone County,11.21,6.0,7.25,2020
20210226134449,01083,Alabama,Limestone County,14.07,6.13,7.25,2021
20220127061547,01083,Alabama,Limestone County,13.47,6.13,7.25,2022
20130602064607,01085,Alabama,Lowndes County,8.9,5.21,7.25,2013
20150910084438,01085,Alabama,Lowndes County,10.64,5.0,7.25,2015
20160311155504,01085,Alabama,Lowndes County,10.64,5.0,7.25,2016
20170310084905,01085,Alabama,Lowndes County,10.87,5.0,7.25,2017
20190715174808,01085,Alabama,Lowndes County,11.41,5.84,7.25,2019
20200813204518,01085,Alabama,Lowndes County,11.18,6.0,7.25,2020
20210118082517,01085,Alabama,Lowndes County,11.18,6.0,7.25,2021
20130530001930,01087,Alabama,Macon County,7.76,5.21,7.25,2013
20150526024337,01087,Alabama,Macon County,9.55,5.0,7.25,2015
20160206024147,01087,Alabama,Macon County,9.64,5.0,7.25,2016
20170608142734,01087,Alabama,Macon County,9.73,5.0,7.25,2017
20190715175412,01087,Alabama,Macon County,10.52,5.84,7.25,2019
20201022190238,01087,Alabama,Macon County,10.47,6.0,7.25,2020
20210124070721,01087,Alabama,Macon County,10.47,6.0,7.25,2021
20130529172125,01089,Alabama,Madison County,8.64,5.21,7.25,2013
20150828181914,01089,Alabama,Madison County,10.19,5.0,7.25,2015
20160311155509,01089,Alabama,Madison County,10.19,5.0,7.25,2016
20170608163850,01089,Alabama,Madison County,10.4,5.0,7.25,2017
20190715175413,01089,Alabama,Madison County,10.97,5.84,7.25,2019
20200921020532,01089,Alabama,Madison County,11.21,6.0,7.25,2020
20210211211933,01089,Alabama,Madison County,11.21,6.0,7.25,2021
20130530015655,01091,Alabama,Marengo County,8.11,5.21,7.25,2013
20150910140549,01091,Alabama,Marengo County,9.85,5.0,7.25,2015
20160311155514,01091,Alabama,Marengo County,9.85,5.0,7.25,2016
20170608162815,01091,Alabama,Marengo County,9.73,5.0,7.25,2017
20190715175415,01091,Alabama,Marengo County,10.72,5.84,7.25,2019
20200805084428,01091,Alabama,Marengo County,10.6,6.0,7.25,2020
20210121060226,01091,Alabama,Marengo County,10.6,6.0,7.25,2021
20220121212350,01091,Alabama,Marengo County,12.81,6.13,7.25,2022
20130530053357,01093,Alabama,Marion County,7.39,5.21,7.25,2013
20150910090518,01093,Alabama,Marion County,9.89,5.0,7.25,2015
20160311155519,01093,Alabama,Marion County,9.89,5.0,7.25,2016
20170608141247,01093,Alabama,Marion County,9.73,5.0,7.25,2017
20190715175420,01093,Alabama,Marion County,10.52,5.84,7.25,2019
20201022175403,01093,Alabama,Marion County,10.47,6.0,7.25,2020
20210124054133,01093,Alabama,Marion County,10.47,6.0,7.25,2021
20220127045018,01093,Alabama,Marion County,12.72,6.13,7.25,2022
20130530035949,01095,Alabama,Marshall County,8.31,5.21,7.25,2013
20150910080621,01095,Alabama,Marshall County,9.69,5.0,7.25,2015
20160831134958,01095,Alabama,Marshall County,9.69,5.0,7.25,2016
20170608152526,01095,Alabama,Marshall County,9.78,5.0,7.25,2017
20190715175425,01095,Alabama,Marshall County,10.62,5.84,7.25,2019
20201022181528,01095,Alabama,Marshall County,10.54,6.0,7.25,2020
20210124060518,01095,Alabama,Marshall County,10.54,6.0,7.25,2021
20130602064126,01097,Alabama,Mobile County,9.11,5.21,7.25,2013
20150910085451,01097,Alabama,Mobile County,11.01,5.0,7.25,2015
